epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2697,0.87878,2.3299,1.10001,0.76054,0.55405,0.65303,0.28449,0.84927,5.53661,0.70613,0.000657143,0.000657143,0.000657143
2,170.587,0.993,2.13896,1.13283,0.36157,0.45159,0.32212,0.15331,1.17926,14.256,1.00275,0.0012976,0.0012976,0.0012976
3,246.837,1.10559,2.02593,1.21518,0.60004,0.74324,0.68514,0.25563,1.22229,13.2111,0.93176,0.00191165,0.00191165,0.00191165
4,328.678,1.11843,1.91166,1.1949,0.59512,0.55405,0.55501,0.18732,1.0995,4.71704,0.83049,0.0018812,0.0018812,0.0018812
5,421.65,1.13154,1.84531,1.22564,0.54247,0.59459,0.48344,0.16904,1.1447,7.28079,0.90748,0.0018416,0.0018416,0.0018416
6,516.114,1.08368,1.68176,1.16132,0.67552,0.54054,0.55523,0.22025,0.99857,4.22454,0.80736,0.001802,0.001802,0.001802
7,618.842,1.02847,1.60131,1.1486,0.56606,0.45946,0.4872,0.18452,1.06066,3.67484,0.84499,0.0017624,0.0017624,0.0017624
8,732.073,1.02342,1.61116,1.16018,0.73443,0.3738,0.3672,0.16562,0.88839,3.56289,0.7389,0.0017228,0.0017228,0.0017228
9,843.502,0.9732,1.54015,1.13379,0.69664,0.43243,0.43199,0.16545,0.92036,3.31036,0.74058,0.0016832,0.0016832,0.0016832
10,955.221,0.98306,1.49995,1.09812,0.71022,0.4306,0.43148,0.16335,0.89212,3.28231,0.73787,0.0016436,0.0016436,0.0016436
11,1312.41,0.96818,1.50117,1.10613,0.80325,0.48649,0.4991,0.22314,0.84428,2.93695,0.69783,0.001604,0.001604,0.001604
12,1415.92,0.96603,1.55513,1.11371,0.73036,0.52703,0.53706,0.21536,0.85055,3.08633,0.7083,0.0015644,0.0015644,0.0015644
13,1520.05,0.9427,1.54443,1.11385,0.60503,0.47616,0.46591,0.15461,0.83603,3.24572,0.72208,0.0015248,0.0015248,0.0015248
14,2531.78,0.88183,1.48798,1.06681,0.78534,0.74163,0.73085,0.32983,0.75545,2.74563,0.66641,0.0014852,0.0014852,0.0014852
15,3565.19,0.9367,1.51128,1.11702,0.94194,0.65781,0.71405,0.32338,0.80805,2.89311,0.71889,0.0014456,0.0014456,0.0014456
16,3677.72,0.87766,1.50402,1.0703,0.85805,0.77027,0.85383,0.3764,0.76705,2.90584,0.69877,0.001406,0.001406,0.001406
17,4341.55,0.97231,1.48138,1.11984,0.83031,0.75676,0.86182,0.38855,0.78737,2.97302,0.68017,0.0013664,0.0013664,0.0013664
18,4446.32,0.91986,1.4862,1.09006,0.90897,0.80964,0.89447,0.40106,0.74164,3.0029,0.68254,0.0013268,0.0013268,0.0013268
19,8629.29,0.84997,1.48061,1.06032,0.86076,0.66838,0.72185,0.31194,0.72832,2.87134,0.67048,0.0012872,0.0012872,0.0012872
20,8732.81,0.83272,1.4282,1.04784,0.82422,0.78378,0.83112,0.35216,0.6697,3.04926,0.65355,0.0012476,0.0012476,0.0012476
21,8849.8,0.85267,1.44425,1.06795,0.81566,0.77737,0.8274,0.32391,0.73006,2.87525,0.67935,0.001208,0.001208,0.001208
22,8959.66,0.8273,1.39602,1.04322,0.84508,0.82432,0.78995,0.32972,0.77531,3.03202,0.70036,0.0011684,0.0011684,0.0011684
23,9076.07,0.80196,1.34305,1.04413,0.93232,0.78378,0.81037,0.38176,0.68441,3.0193,0.66976,0.0011288,0.0011288,0.0011288
24,9206.59,0.82231,1.38865,1.06398,0.89564,0.81189,0.91309,0.42505,0.65556,2.72583,0.65078,0.0010892,0.0010892,0.0010892
25,9327.98,0.7784,1.40369,1.02412,0.86584,0.82432,0.83417,0.34365,0.6782,2.88731,0.67821,0.0010496,0.0010496,0.0010496
26,9454.18,0.80755,1.40335,1.05069,0.88998,0.7973,0.81542,0.35546,0.63548,2.75695,0.64101,0.00101,0.00101,0.00101
27,9566.1,0.80225,1.431,1.04866,0.88948,0.87009,0.88718,0.37922,0.65177,2.70102,0.6545,0.0009704,0.0009704,0.0009704
28,9676.83,0.78958,1.3987,1.05418,0.91137,0.87838,0.89237,0.39767,0.69418,2.84474,0.67899,0.0009308,0.0009308,0.0009308
29,9790.51,0.77427,1.37118,1.03065,0.92767,0.91892,0.91398,0.40149,0.72364,2.79184,0.67727,0.0008912,0.0008912,0.0008912
30,9908.14,0.7395,1.34399,1.02192,0.87704,0.90541,0.90573,0.42065,0.69956,2.82915,0.68399,0.0008516,0.0008516,0.0008516
31,10023.7,0.74746,1.39394,1.03657,0.93585,0.90541,0.8973,0.41992,0.64314,2.89503,0.67022,0.000812,0.000812,0.000812
